day,score
2016-07-09,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,-1742.0
2016-07-30,2299.0
2016-07-31,0.0
2016-08-01,-3446.0
2016-08-02,5943.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,10687.0
2016-08-06,38296.0
2016-08-07,6347.0
2016-08-08,1180.0
2016-08-09,3265.0
2016-08-10,30072.0
2016-08-11,56454.0
2016-08-12,56098.0
2016-08-13,26424.0
2016-08-14,4330.0
2016-08-15,23206.0
2016-08-16,21264.0
2016-08-17,26204.0
2016-08-18,-62108.0
2016-08-19,27445.0
2016-08-20,5087.0
2016-08-21,5330.0
2016-08-22,-19863.0
2016-08-23,27665.0
2016-08-24,43359.0
2016-08-25,53866.0
2016-08-26,-153913.0
2016-08-27,3191.0
2016-08-28,6904.0
2016-08-29,-102964.0
2016-08-30,-117426.0
2016-08-31,-52699.0
2016-09-01,-42273.0
2016-09-02,-27137.0
2016-09-03,-40592.0
2016-09-04,0.0
2016-09-05,-134005.0
2016-09-06,-27802.0
2016-09-07,-65235.0
2016-09-08,-22023.0
2016-09-09,-100281.0
2016-09-10,-21175.0
2016-09-11,-21630.0
2016-09-12,-13658.0
2016-09-13,-5574.0
2016-09-14,-63432.0
2016-09-15,-7438.0
2016-09-16,-4976.0
2016-09-17,-2894.0
2016-09-18,-16016.0
2016-09-19,22619.0
2016-09-20,2496.0
2016-09-21,20687.0
2016-09-22,-14178.0
2016-09-23,-37514.0
2016-09-24,-2999.0
2016-09-25,-2751.0
2016-09-26,-66421.0
2016-09-27,-24068.0
2016-09-28,-8055.0
2016-09-29,-2156.0
2016-09-30,-21360.0
2016-10-01,-10590.0
2016-10-02,-26180.0
2016-10-03,0.0
2016-10-04,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,-1897.0
2016-10-10,4157.0
2016-10-11,-2542.0
2016-10-12,3683.0
2016-10-13,-7832.0
2016-10-14,-9547.0
2016-10-16,0.0
2016-10-17,-12787.0
2016-10-18,6067.0
2016-10-19,18894.0
2016-10-20,-2228.0
2016-10-21,37433.0
2016-10-22,3123.0
2016-10-23,1830.0
2016-10-24,-9201.0
2016-10-25,-9342.0
2016-10-26,-5935.0
2016-10-27,13289.0
2016-10-28,-6618.0
2016-10-30,-431.0
2016-10-31,-7916.0
2016-11-01,9612.0
2016-11-02,10961.0
2016-11-03,27716.0
